1578100732,Australia weather forecasts for the coming days are causing concern that the situation is set to get worse,-0.4,"['australia', 'weather', 'forecasts', 'coming', 'days', 'causing', 'concern', 'situation', 'set', 'get', 'worse']"

1578100732,Friday 03 January 2020 at 2057 GMT pywws weather update from N15 London Temperature 49C Wind ENE 1mph ave 3mph gust Humidity 76 Rain 00mmh Pressure 1037hPa rising,0.0,"['friday', '03', 'january', '2020', '2057', 'gmt', 'pywws', 'weather', 'update', 'n15', 'london', 'temperature', '49c', 'wind', 'ene', '1mph', 'ave', '3mph', 'gust', 'humidity', '76', 'rain', '00mmh', 'pressure', '1037hpa', 'rising']"

1578100732,I am blaming climate change for this extreme cold weather thats got me all curled up in my bed,-0.3625,"['blaming', 'climate', 'change', 'extreme', 'cold', 'weather', 'thats', 'got', 'curled', 'bed']"

1578100732,oamin985 pxrx Show me where it says with authentic Islamic sources to thow gays of buildings If this is done it is the people innovating Punishment is for people that in public do sexual acts weather that is between a man and women or two men Even then they need 4 witnesses,0.3333333333333333,"['oamin985', 'pxrx', 'show', 'says', 'authentic', 'islamic', 'sources', 'thow', 'gays', 'buildings', 'done', 'people', 'innovating', 'punishment', 'people', 'public', 'sexual', 'acts', 'weather', 'man', 'women', 'two', 'men', 'even', 'need', '4', 'witnesses']"

1578100732,AlanReynolds2 SingerMairead MrsBlinkle marly05 SianWeather angieweather janh1 roseydobbs MarkSheldon JJBOS Thank you and happy 2020,0.8,"['alanreynolds2', 'singermairead', 'mrsblinkle', 'marly05', 'sianweather', 'angieweather', 'janh1', 'roseydobbs', 'marksheldon', 'jjbos', 'thank', 'happy', '2020']"

1578100732,BBC Weather Temperatures plunge to 2C as snow blankets Europe this weekend,0.0,"['bbc', 'weather', 'temperatures', 'plunge', '2c', 'snow', 'blankets', 'europe', 'weekend']"

1578100732,The world and weather is changing If the trend continues 2020 is going to be an intense year,0.2,"['world', 'weather', 'changing', 'trend', 'continues', '2020', 'going', 'intense', 'year']"

1578100732,The weather or the,0.0,['weather']

1578100732,2019 was the 11th wettest year on record some counties in central and eastern England such as Nottinghamshire and Lincolnshire and parts of Sth Yorkshire have had annual rainfall figures in the top 5 Source MET Office DesGreen,0.16666666666666666,"['2019', '11th', 'wettest', 'year', 'record', 'counties', 'central', 'eastern', 'england', 'nottinghamshire', 'lincolnshire', 'parts', 'sth', 'yorkshire', 'annual', 'rainfall', 'figures', 'top', '5', 'source', 'met', 'office', 'desgreen']"

1578100732,Jakarta is the worlds fastestsinking city caused by rising sea levels and extreme weather both worsened by the climate emergency We are so fucked,-0.3625,"['jakarta', 'worlds', 'fastestsinking', 'city', 'caused', 'rising', 'sea', 'levels', 'extreme', 'weather', 'worsened', 'climate', 'emergency', 'fucked']"

1578100732,piersmorgan You still crying over vegan sausages rolls Absolute muppet,0.0,"['piersmorgan', 'still', 'crying', 'vegan', 'sausages', 'rolls', 'absolute', 'muppet']"

1578100732,Image from weather satellite NOAA18 over London at Fri Jan 3 200534 UTC 2020,0.0,"['image', 'weather', 'satellite', 'noaa18', 'london', 'fri', 'jan', '3', '200534', 'utc', '2020']"

1578100732,HOOKIPA NORTHSHORE HAIKU MAUI FRIDAY JANUARY 3RD Live WebCam hookipa mauinorthshore surf hydrofoiling maui windsurfing kiting surfing standuppaddleboarding downwinder kitesurfing surfing malikogulch sup,0.06818181818181818,"['hookipa', 'northshore', 'haiku', 'maui', 'friday', 'january', '3rd', 'live', 'webcam', 'hookipa', 'mauinorthshore', 'surf', 'hydrofoiling', 'maui', 'windsurfing', 'kiting', 'surfing', 'standuppaddleboarding', 'downwinder', 'kitesurfing', 'surfing', 'malikogulch', 'sup']"

1578100732,HOOKIPA NORTHSHORE HAIKU MAUI FRIDAY JANUARY 3RD Live WebCam hookipa mauinorthshore surf hydrofoiling maui windsurfing kiting surfing standuppaddleboarding downwinder kitesurfing surfing malikogulch sup,0.06818181818181818,"['hookipa', 'northshore', 'haiku', 'maui', 'friday', 'january', '3rd', 'live', 'webcam', 'hookipa', 'mauinorthshore', 'surf', 'hydrofoiling', 'maui', 'windsurfing', 'kiting', 'surfing', 'standuppaddleboarding', 'downwinder', 'kitesurfing', 'surfing', 'malikogulch', 'sup']"

1578100732,Temperatures to reach 45C in Victoria as deadly fires tear through the state,-0.2,"['temperatures', 'reach', '45c', 'victoria', 'deadly', 'fires', 'tear', 'state']"

1578100732,Tomorrows London weather Partly Cloudy with a high of 9C 49F and a low of 4C 39F london weather,0.08,"['tomorrows', 'london', 'weather', 'partly', 'cloudy', 'high', '9c', '49f', 'low', '4c', '39f', 'london', 'weather']"

1578100732,The weather can stay like this please for the next five days,0.0,"['weather', 'stay', 'like', 'please', 'next', 'five', 'days']"

1578100732,HanaanYakub No I move on like the British weather,0.0,"['hanaanyakub', 'move', 'like', 'british', 'weather']"

1578100732,Coolhan60 SkyNews BorisJohnson Whats the weather like in Russia,0.0,"['coolhan60', 'skynews', 'borisjohnson', 'whats', 'weather', 'like', 'russia']"

1578100732,avengerinacape FinalLegends KFCUKI I really have no idea but I recall my missus saying her aches had gone then I forgot about it That summer I had bad joint aches amp thought heck if Im like this in good weather Im going to be seriously stuffed come winter Now Nothing Not one ache not a twinge nothing,-0.0333333333333333,"['avengerinacape', 'finallegends', 'kfcuki', 'really', 'idea', 'recall', 'missus', 'saying', 'aches', 'gone', 'forgot', 'summer', 'bad', 'joint', 'aches', 'amp', 'thought', 'heck', 'im', 'like', 'good', 'weather', 'im', 'going', 'seriously', 'stuffed', 'come', 'winter', 'nothing', 'one', 'ache', 'twinge', 'nothing']"

1578100732,Reba McEntire 64 takes in a turtlewatching expedition while on holiday in Barbados over New Years Shes had a long and storied career as both a country music legend and screen actress and she took advantage of a lovely looking warm weather vacation,0.29659090909090907,"['reba', 'mcentire', '64', 'takes', 'turtlewatching', 'expedition', 'holiday', 'barbados', 'new', 'years', 'shes', 'long', 'storied', 'career', 'country', 'music', 'legend', 'screen', 'actress', 'took', 'advantage', 'lovely', 'looking', 'warm', 'weather', 'vacation']"

1578100732,The way Im getting forced to take my little brother winter wonderland in this weather,-0.24375000000000002,"['way', 'im', 'getting', 'forced', 'take', 'little', 'brother', 'winter', 'wonderland', 'weather']"

1578100732,Pony Rides Saturday and Sunday 13pm 1 per lapNo need to book just come along Ages 3 and overWell be inside if the weather turns bad,-0.6999999999999998,"['pony', 'rides', 'saturday', 'sunday', '13pm', '1', 'per', 'lapno', 'need', 'book', 'come', 'along', 'ages', '3', 'overwell', 'inside', 'weather', 'turns', 'bad']"

1578100732,Met Offices Extreme Weather Year Brings Record Cereal Yields,-0.125,"['met', 'offices', 'extreme', 'weather', 'year', 'brings', 'record', 'cereal', 'yields']"

1578100732,Friday 03 January 2020 at 1957 GMT pywws weather update from N15 London Temperature 54C Wind ESE 1mph ave 2mph gust Humidity 74 Rain 00mmh Pressure 1036hPa rising,0.0,"['friday', '03', 'january', '2020', '1957', 'gmt', 'pywws', 'weather', 'update', 'n15', 'london', 'temperature', '54c', 'wind', 'ese', '1mph', 'ave', '2mph', 'gust', 'humidity', '74', 'rain', '00mmh', 'pressure', '1036hpa', 'rising']"

1578100732,Tomorrows London weather Partly Cloudy with a high of 9C 49F and a low of 4C 39F,0.08,"['tomorrows', 'london', 'weather', 'partly', 'cloudy', 'high', '9c', '49f', 'low', '4c', '39f']"

1578100732,farnazfassihi You couldnt report the weather if you looked out the window Trump2020,0.0,"['farnazfassihi', 'couldnt', 'report', 'weather', 'looked', 'window', 'trump2020']"

1578100732,BriteEyedViolet Oh yep couple of ones Theres one in Greenwich though its outdoors so this time of year might not be great weather wise The one linked to is indoors near Liverpool Street Havent been myself but a friend went recently and enjoyed it,0.42000000000000004,"['briteeyedviolet', 'oh', 'yep', 'couple', 'ones', 'theres', 'one', 'greenwich', 'though', 'outdoors', 'time', 'year', 'might', 'great', 'weather', 'wise', 'one', 'linked', 'indoors', 'near', 'liverpool', 'street', 'havent', 'friend', 'went', 'recently', 'enjoyed']"

1578100732,SkyJacquie skystephen I love the SkyNews team skygillian skynewsniall SkyNewsNaz SkyJacquie skysarahjane SkyNewsIsabel SkyNewsGamal AliBunkallSKY SamCoatesSky the best love them all News weather and sport are brilliant But sorry I loath KayBurley the worst most odious presenter,0.2714285714285714,"['skyjacquie', 'skystephen', 'love', 'skynews', 'team', 'skygillian', 'skynewsniall', 'skynewsnaz', 'skyjacquie', 'skysarahjane', 'skynewsisabel', 'skynewsgamal', 'alibunkallsky', 'samcoatessky', 'best', 'love', 'news', 'weather', 'sport', 'brilliant', 'sorry', 'loath', 'kayburley', 'worst', 'odious', 'presenter']"

1578100732,RyanBwfc12 Weather is a better than Wright If we sign him it will free up a loan slot Very smart business in my head,0.39285714285714285,"['ryanbwfc12', 'weather', 'better', 'wright', 'sign', 'free', 'loan', 'slot', 'smart', 'business', 'head']"

1578100732,Man makes frozen noodle sculpture in 50 C weather,0.0,"['man', 'makes', 'frozen', 'noodle', 'sculpture', '50', 'c', 'weather']"

1578100732,LIVE He scored 130 on the first day Marnus Labuschagne wants to go even bigger on day two,0.1465909090909091,"['live', 'scored', '130', 'first', 'day', 'marnus', 'labuschagne', 'wants', 'go', 'even', 'bigger', 'day', 'two']"

1578100732,NetatmoSupport how long should the batteries last in our outdoor module for our weather station Replaced the batteries with new Duracell ones before Xmas and they are already flat,0.015340909090909087,"['netatmosupport', 'long', 'batteries', 'last', 'outdoor', 'module', 'weather', 'station', 'replaced', 'batteries', 'new', 'duracell', 'ones', 'xmas', 'already', 'flat']"

1578100732,At this time of year living in a cold home can increase chances of serious illness or deathThis SCIENICE quick guide explains how to prevent deaths and illnesses associated with cold weather,-0.30000000000000004,"['time', 'year', 'living', 'cold', 'home', 'increase', 'chances', 'serious', 'illness', 'deaththis', 'scienice', 'quick', 'guide', 'explains', 'prevent', 'deaths', 'illnesses', 'associated', 'cold', 'weather']"

1578100732,Weathers crap half friends on Dry January But its Friday already We have wine we have chorizo Te presente a Gente De Zona HelenRichenda following our drunken NYE debate on reggaetns reggae roots gotta admit theyre faint on this Cuban one,-0.30666666666666664,"['weathers', 'crap', 'half', 'friends', 'dry', 'january', 'friday', 'already', 'wine', 'chorizo', 'te', 'presente', 'gente', 'de', 'zona', 'helenrichenda', 'following', 'drunken', 'nye', 'debate', 'reggaetns', 'reggae', 'roots', 'gotta', 'admit', 'theyre', 'faint', 'cuban', 'one']"

1578100732,Miso soup in this weather gtgtgt,0.0,"['miso', 'soup', 'weather', 'gtgtgt']"

1578100732,whiskeybravouk lottiesaurusrex Bushfires are a naturally occurring process but youd have to be an idiot to argue that climate change isnt a KEY factor in the severity of this onethose in US along with extreme temperatures flooding droughts and other weather related events WORLDWIDE in recent years 12,-0.13571428571428573,"['whiskeybravouk', 'lottiesaurusrex', 'bushfires', 'naturally', 'occurring', 'process', 'youd', 'idiot', 'argue', 'climate', 'change', 'isnt', 'key', 'factor', 'severity', 'onethose', 'us', 'along', 'extreme', 'temperatures', 'flooding', 'droughts', 'weather', 'related', 'events', 'worldwide', 'recent', 'years', '12']"

1578100732,Welcome to the first weekend of 2020 Jogging shopping juicing raving Heres the latest weather update ukweather,0.5166666666666667,"['welcome', 'first', 'weekend', '2020', 'jogging', 'shopping', 'juicing', 'raving', 'heres', 'latest', 'weather', 'update', 'ukweather']"

1578100732,This is the year I buy some skates again Determined to do it while still in London If anyone else is interested let me know Intending to do Sunday sessions when the weather improves and hopefully Friday ones when I get betterquadskates dotheystillmakebauerturbo,0.25,"['year', 'buy', 'skates', 'determined', 'still', 'london', 'anyone', 'else', 'interested', 'let', 'know', 'intending', 'sunday', 'sessions', 'weather', 'improves', 'hopefully', 'friday', 'ones', 'get', 'betterquadskates', 'dotheystillmakebauerturbo']"

1578100732,First meteor shower of the year set to light up skies tonightSent via updayUK,0.325,"['first', 'meteor', 'shower', 'year', 'set', 'light', 'skies', 'tonightsent', 'via', 'updayuk']"

1578100732,TheEvilBarbie Oh I see will they be different every week I guess it will also depend on the calibre of stars in the costumes that are taking part as long as they really are stars and not people like someone that presents the weather forecast on North Norfolk News O LOL,0.23750000000000002,"['theevilbarbie', 'oh', 'see', 'different', 'every', 'week', 'guess', 'also', 'depend', 'calibre', 'stars', 'costumes', 'taking', 'part', 'long', 'really', 'stars', 'people', 'like', 'someone', 'presents', 'weather', 'forecast', 'north', 'norfolk', 'news', 'lol']"

1578100732,Breaking Evacuations underway as weather raises Australias firedanger,0.0,"['breaking', 'evacuations', 'underway', 'weather', 'raises', 'australias', 'firedanger']"

1578101930,ThePunkRockPoet Chauna29393975 Its 55 that is June weather,0.0,"['thepunkrockpoet', 'chauna29393975', '55', 'june', 'weather']"

1578101930,djjjfrost I cried seeing the koala grabbing onto the bike begging the cyclists for more water the other dayaccording to some Australians Ive spoken to they never seek out people Never so they must be absolutely desperate pray for cooler weather and strength to all life affected,-0.075,"['djjjfrost', 'cried', 'seeing', 'koala', 'grabbing', 'onto', 'bike', 'begging', 'cyclists', 'water', 'dayaccording', 'australians', 'ive', 'spoken', 'never', 'seek', 'people', 'never', 'must', 'absolutely', 'desperate', 'pray', 'cooler', 'weather', 'strength', 'life', 'affected']"

1578101930,But I cant fix him cant make him betterAnd I cant do nothing about his strange weather LanaDelRey Libras OneofThoseNights why,-0.05,"['cant', 'fix', 'cant', 'make', 'betterand', 'cant', 'nothing', 'strange', 'weather', 'lanadelrey', 'libras', 'oneofthosenights']"

1578101930,Thanks Marian Feinberg,0.2,"['thanks', 'marian', 'feinberg']"

1578101930,Wanstead Park1h Current weatherWind CalmGust 00 mphTemperature 43 CHumidity 87 Pressure 10304 hPaRain 00 mmSolar radiation 0 WmUV index 0 Weathercloud,0.0,"['wanstead', 'park1h', 'current', 'weatherwind', 'calmgust', '00', 'mphtemperature', '43', 'chumidity', '87', 'pressure', '10304', 'hparain', '00', 'mmsolar', 'radiation', '0', 'wmuv', 'index', '0', 'weathercloud']"
